NOM	:	5J_1M_4F
NOMBRE_DE_JOBS	:	6
NOMBRE_DE_MACHINES_M	:	1
NOMBRE_DE_MACHINES_F	:	4
NOMBRE_DE_NIVEAUX	:	2
BIG_M 	:	1000
		
		
DUE_DATE		
		
0	10000	
1	128	
2	83	
3	315	
4	35	
5	289	
		
		
PENALITE		
		
0	0	
1	82	
2	79	
3	82	
4	77	
5	87	
		
PROCESSING_TIME		
NIVEAU_1		
JOBS		
M1		
0	0	
1	1	
2	5	
3	4	
4	4	
5	1	
		
NIVEAU_2		
F1		
0	0	
1	4	
2	7	
3	1	
4	5	
5	4	
		
F2		
0	0	
1	1	
2	4	
3	8	
4	2	
5	4	
		
F3		
0	0	
1	2	
2	6	
3	3	
4	3	
5	9	
		
F4		
0	0	
1	3	
2	3	
3	6	
4	5	
5	4	
		
SETUP_TIME		
NIVEAU1		
M1		
JOB_0		
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
		
JOB_1		
0	0	
1	0	
2	6	
3	9	
4	10	
5	2			
JOB_2		
0	0	
1	5	
2	0	
3	0	
4	4	
5	7		
JOB_3		
0	0	
1	1	
2	1	
3	0	
4	10	
5	5			
JOB_4		
0	0	
1	4	
2	6	
3	1	
4	0	
5	1	
		
JOB_5		
0	0	
1	10	
2	1	
3	4	
4	7	
5	0	
		
NIVEAU2		
		
F1		
		
JOB_0		
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
		
JOB_1		
0	0	
1	0	
2	9	
3	10	
4	7	
5	3			
JOB_2		
0	0	
1	7	
2	0	
3	7	
4	2	
5	2			
JOB_3		
0	0	
1	7	
2	4	
3	0	
4	1	
5	10			
JOB_4		
0	0	
1	10	
2	9	
3	2	
4	0	
5	3			
JOB_5		
0	0	
1	1	
2	7	
3	2	
4	0	
5	0	
				
F2		
		
JOB_0		
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
		
JOB_1		
0	0	
1	0	
2	5	
3	8	
4	8	
5	7		
JOB_2		
0	0	
1	9	
2	0	
3	8	
4	7	
5	4		
JOB_3		
0	0	
1	5	
2	5	
3	0	
4	0	
5	5			
JOB_4		
0	0	
1	4	
2	3	
3	6	
4	0	
5	1			
JOB_5		
0	0	
1	1	
2	3	
3	3	
4	4	
5	0	
		
F3		
		
JOB_0		
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
		
JOB_1		
0	0	
1	0	
2	9	
3	6	
4	2	
5	5		
JOB_2		
0	0	
1	7	
2	0	
3	1	
4	2	
5	3			
JOB_3		
0	0	
1	7	
2	6	
3	0	
4	4	
5	7			
JOB_4		
0	0	
1	8	
2	3	
3	1	
4	0	
5	7	
JOB_5		
0	0	
1	1	
2	4	
3	2	
4	1	
5	0			
		
F4		
		
JOB_0		
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
		
JOB_1		
0	0	
1	0	
2	8	
3	4	
4	9	
5	8			
JOB_2		
0	0	
1	6	
2	0	
3	0	
4	7	
5	7			
JOB_3		
0	0	
1	5	
2	8	
3	0	
4	1	
5	7	
		
JOB_4		
0	0	
1	9	
2	5	
3	9	
4	0	
5	10			
JOB_5		
0	0	
1	0	
2	5	
3	9	
4	2	
5	0	

