NOM	:	data
NOMBRE_DE_JOBS	:	20
NOMBRE_DE_MACHINES_M	:	1
NOMBRE_DE_MACHINES_F	:	4
NOMBRE_DE_NIVEAUX	:	2
		
DUE_DATE		
		
0	10000	
1	48	
2	409	
3	199	
4	400	
5	391	
6	74	
7	441	
8	370	
9	392	
10	297	
11	384	
12	228	
13	145	
14	187	
15	295	
16	280	
17	205	
18	462	
19	367	
		
PENALITE		
		
0	0	
1	96	
2	67	
3	55	
4	66	
5	71	
6	87	
7	81	
8	73	
9	57	
10	77	
11	90	
12	84	
13	83	
14	72	
15	61	
16	79	
17	80	
18	69	
19	85	

PROCESSING_TIME
NIVEAU_1					
JOBS	
M1				
0	0				
1	5				
2	1				
3	8				
4	5				
5	2				
6	9				
7	3				
8	6				
9	9				
10	7				
11	8				
12	9				
13	5				
14	8				
15	7				
16	3				
17	1				
18	4				
19	5				
NIVEAU_2					
F1					
0	0				
1	5				
2	4				
3	3				
4	4				
5	6				
6	9				
7	7				
8	9				
9	6				
10	7				
11	0				
12	4				
13	4				
14	3				
15	8				
16	8				
17	2				
18	8				
19	2				
F2					
0	0				
1	9				
2	1				
3	0				
4	3				
5	2				
6	9				
7	2				
8	5				
9	8				
10	6				
11	6				
12	5				
13	4				
14	4				
15	2				
16	2				
17	6				
18	4				
19	9				
F3					
0	0				
1	3				
2	6				
3	8				
4	0				
5	4				
6	7				
7	0				
8	9				
9	4				
10	5				
11	7				
12	5				
13	1				
14	9				
15	6				
16	3				
17	8				
18	6				
19	1				
F4					
0	0				
1	6				
2	3				
3	7				
4	6				
5	9				
6	5				
7	9				
8	9				
9	9				
10	2				
11	6				
12	8				
13	7				
14	9				
15	4				
16	2				
17	0				
18	3				
19	9				

SETUP_TIME	
NIVEAU1
M1	
JOB_0	
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0

JOB_1	
0	0
1	0
2	10
3	1
4	3
5	10
6	2
7	0
8	7
9	1
10	7
11	3
12	2
13	5
14	5
15	0
16	6
17	9
18	10
19	6
JOB_2	
0	0
1	10
2	0
3	7
4	2
5	9
6	5
7	0
8	7
9	9
10	2
11	8
12	0
13	10
14	4
15	4
16	0
17	8
18	4
19	9
JOB_3	
0	0
1	6
2	4
3	0
4	2
5	6
6	10
7	10
8	1
9	5
10	8
11	0
12	7
13	6
14	4
15	5
16	7
17	2
18	4
19	8
JOB_4	
0	0
1	7
2	3
3	0
4	0
5	7
6	3
7	6
8	1
9	6
10	6
11	1
12	3
13	2
14	5
15	4
16	10
17	3
18	5
19	5
JOB_5	
0	0
1	5
2	8
3	2
4	4
5	0
6	7
7	0
8	4
9	10
10	8
11	7
12	4
13	5
14	2
15	4
16	7
17	3
18	9
19	9
JOB_6	
0	0
1	9
2	5
3	1
4	6
5	2
6	4
7	10
8	2
9	0
10	9
11	5
12	2
13	8
14	1
15	3
16	2
17	10
18	6
19	2
JOB_7	
0	0
1	7
