PROCESSING_TIME
NIVEAU_1					
JOBS	M1				
0	0				
1	5				
2	1				
3	8				
4	5				
5	2				
6	9				
7	3				
8	6				
9	9				
10	7				
11	8				
12	9				
13	5				
14	8				
15	7				
16	3				
17	1				
18	4				
19	5				
NIVEAU_2					
F1					
0	0				
1	5				
2	4				
3	3				
4	4				
5	6				
6	9				
7	7				
8	9				
9	6				
10	7				
11	0				
12	4				
13	4				
14	3				
15	8				
16	8				
17	2				
18	8				
19	2				
F2					
0	0				
1	9				
2	1				
3	0				
4	3				
5	2				
6	9				
7	2				
8	5				
9	8				
10	6				
11	6				
12	5				
13	4				
14	4				
15	2				
16	2				
17	6				
18	4				
19	9				
F3					
0	0				
1	3				
2	6				
3	8				
4	0				
5	4				
6	7				
7	0				
8	9				
9	4				
10	5				
11	7				
12	5				
13	1				
14	9				
15	6				
16	3				
17	8				
18	6				
19	1				
F4					
0	0				
1	6				
2	3				
3	7				
4	6				
5	9				
6	5				
7	9				
8	9				
9	9				
10	2				
11	6				
12	8				
13	7				
14	9				
15	4				
16	2				
17	0				
18	3				
19	9				
